Displacement,Load
0.58371,91.96859
0.58454,92.0668
0.58537,92.16219
0.58619,92.25653
0.58703,92.35432
0.58787,92.45594
0.58871,92.55463
0.58954,92.65408
0.59036,92.75146
0.5912,92.85028
0.59202,92.94767
0.59287,93.04865
0.5937,93.14909
0.59453,93.24632
0.59537,93.33656
0.5962,93.43645
0.59703,93.54018
0.59786,93.6358
0.59869,93.72948
0.59953,93.82316
0.60037,93.92133
0.6012,94.01904
0.60203,94.10941
0.60285,94.18924
0.60369,94.28843
0.60454,94.3918
0.60537,94.49658
0.6062,94.58955
0.60701,94.66705
0.60785,94.7683
0.60869,94.86163
0.60954,94.97562
0.61038,95.05914
0.6112,95.15073
0.61202,95.23456
0.61286,95.33107
0.6137,95.42894
0.61454,95.5307
0.61537,95.61146
0.6162,95.69845
0.61701,95.79159
0.61786,95.89084
0.6187,95.98728
0.61954,96.08344
0.62037,96.16562
0.62119,96.24396
0.62201,96.34571
0.62286,96.44401
0.6237,96.54549
0.62454,96.62753
0.62536,96.70956
0.62619,96.79974
0.62701,96.89417
0.62787,96.98231
0.6287,97.08123
0.62953,97.16283
0.63035,97.24993
0.63119,97.35153
0.63202,97.43462
0.63287,97.53925
0.6337,97.61889
0.63453,97.71147
0.63537,97.79947
0.6362,97.89699
0.63703,97.98139
0.63787,98.06028
0.6387,98.1542
0.63954,98.25182
0.64037,98.33559
0.64121,98.42062
0.64203,98.50977
0.64286,98.5848
0.64369,98.68279
0.64453,98.76752
0.64537,98.8532
0.6462,98.94199
0.64702,99.0152
0.64786,99.119
0.64869,99.20204
0.64954,99.29627
0.65037,99.37169
0.6512,99.45734
0.65201,99.5363
0.65285,99.63208
0.65369,99.71976
0.65454,99.81978
0.65536,99.89935
0.65619,99.97529
0.65701,100.05649
0.65785,100.14143
0.65871,100.23994
0.65955,100.32318
0.66036,100.40466
0.66119,100.48323
0.66201,100.56444
0.66286,100.6532
0.66371,100.74241
0.66454,100.82686
0.66536,100.89386
0.66619,100.98385
0.66702,101.06364
0.66787,101.14642
0.66871,101.23556
0.66953,101.32079
0.67036,101.39429
0.67119,101.47385
0.67202,101.55386
0.67286,101.6451
0.6737,101.71696
0.67453,101.8042
0.67536,101.88615
0.67619,101.96789
0.67702,102.04414
0.67786,102.12596
0.67869,102.21323
0.67953,102.29662
0.68036,102.37677
0.6812,102.47186
0.68202,102.53549
0.68285,102.61713
0.6837,102.6981
0.68454,102.79114
0.68538,102.8718
0.6862,102.94549
0.68702,103.01789
0.68786,103.09975
0.6887,103.19234
0.68954,103.26733
0.69037,103.34007
0.6912,103.41814
0.69201,103.49477
0.69286,103.57156
0.69371,103.65451
0.69455,103.73079
0.69537,103.81135
0.69619,103.88097
0.69701,103.95029
0.69786,104.03765
0.69871,104.11487
0.69954,104.19921
0.70036,104.26434
0.70119,104.3383
0.70201,104.41914
0.70287,104.50254
0.70371,104.58692
0.70454,104.6614
